DB,Source_file,Ref_video,Resolution,Color_encoding,Aggregate_vmaf,Subject_score,PSNR,SSIM,MS_SSIM,frame,blockiness,spatialactivity,letterbox,pillarbox,blockloss,blur,temporalact,blockout,freezing,exposure,contrast,brightness,interlace,noise,slice,flickering,fps,two_res,one_res,duration
DB1,src01_hrc19,src01_hrc00_,640x480,yuv422p,27.98971966,1.407407407,25.952748,0.762577,0.869887,480,1.045797917,36.04315825,0,0,0,0,49.40038231,0,0,130.26875,35.53137135,0.577960438,31.4131875,4.9991625,-0.859635417,#DIV/0!,30,0,1,16
DB1,src01_hrc01,src01_hrc00_,640x480,yuv422p,91.1267536,4.111111111,39.429889,0.988496,0.995307,480,1.052560708,55.57327513,0,0,0,0,52.19690146,0,0,130.2104167,37.50301413,0.63307075,32.11872917,5.514920833,-0.859635417,#DIV/0!,30,0,1,16
DB1,src01_hrc22,src01_hrc00_,640x480,yuv422p,82.93814019,3.703703704,35.972315,0.97569,0.989374,480,1.050673188,54.46976617,0,0,0,0,51.98011775,0,0,130.4208333,37.34607827,0.659012979,31.7535625,7.067166667,-0.859635417,#DIV/0!,30,0,1,16
DB1,src01_hrc05,src01_hrc00_,640x480,yuv422p,90.8826332,4.148148148,39.466325,0.98867,0.995381,480,1.052642438,55.62658117,0,0,0,0,52.17406467,0,0,130.2895833,37.48554494,0.635422667,32.01695833,5.290022917,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc03,src10_hrc00_,640x480,yuv422p,65.75454229,2.037037037,32.37783,0.928242,0.968829,480,1.043800521,61.85194525,0,0,0,0.004166667,39.42019535,0,0,114.3458333,32.75236654,0.610770667,31.72783333,13.29444583,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc17,src10_hrc00_,640x480,yuv422p,44.63271395,2.481481481,30.308473,0.898098,0.951997,480,1.045889042,58.22317815,0,0,0,0,38.97401256,0,0,114.54375,32.43332081,0.614591917,31.70785417,15.19334583,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc24,src10_hrc00_,640x480,yuv422p,30.61349703,1.037037037,28.78577,0.866722,0.916669,480,1.048481458,57.99072177,0,0,0,0,37.44357917,0,0,113.8958333,31.65040121,0.646270396,31.1784375,56.73195208,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc19,src10_hrc00_,640x480,yuv422p,23.27787635,1.037037037,28.132272,0.847434,0.906498,480,1.052814083,55.77227415,0,0,0,0,37.4770304,0,0,114.0625,31.64542796,0.6210875,31.10204167,95.16071042,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc10,src10_hrc00_,640x480,yuv422p,73.66692579,2.777777778,35.016294,0.960771,0.982101,480,1.044975396,65.25853944,0,0,0,0,40.03773104,0,0,114.7354167,33.06195938,0.589341854,32.24385417,18.16892917,-0.859635417,#DIV/0!,30,0,1,16
DB1,src10_hrc02,src10_hrc00_,640x480,yuv422p,77.61501063,2.962962963,35.089216,0.960453,0.98255,480,1.043540313,65.20056075,0,0,0,0,40.22165129,0,0,114.51875,33.17477488,0.581402188,32.25854167,11.43796042,-0.859635417,#DIV/0!,30,0,1,16
